accX,accY,accZ,time,microseconds
-6280,5070,-1351,"2022-04-13 10:22:45",0
-6289,5068,-1352,"2022-04-13 10:22:45",993
-6304,5071,-1361,"2022-04-13 10:22:45",1986
-6290,5119,-1,"2022-04-13 10:22:45",2979
-6288,5070,-1358,"2022-04-13 10:22:45",3972
-6314,5037,-1378,"2022-04-13 10:22:45",4965
-6314,5037,-1378,"2022-04-13 10:22:45",5958
-6298,5052,-1368,"2022-04-13 10:22:45",6951
-6298,5052,-1368,"2022-04-13 10:22:45",7944
-6298,5052,-1368,"2022-04-13 10:22:45",8937
-6301,5041,-1379,"2022-04-13 10:22:45",9930
-6308,5055,-1412,"2022-04-13 10:22:45",10923
-6308,5055,-1412,"2022-04-13 10:22:45",11916
-6247,5085,-1342,"2022-04-13 10:22:45",12909
-6246,5084,-1365,"2022-04-13 10:22:45",13902
-6281,5095,-1361,"2022-04-13 10:22:45",14895
-6294,5070,-1344,"2022-04-13 10:22:45",15888
-6303,5051,-1375,"2022-04-13 10:22:45",16881
-6330,5020,-1360,"2022-04-13 10:22:45",17874
-6352,10239,-1,"2022-04-13 10:22:45",18867
-6321,5054,-1344,"2022-04-13 10:22:45",19860
-6320,5053,-1368,"2022-04-13 10:22:45",20853
-6295,5065,-1,"2022-04-13 10:22:45",21846
-6282,5064,-1369,"2022-04-13 10:22:45",22839
-6278,5054,-1384,"2022-04-13 10:22:45",23832
-6254,5076,-1372,"2022-04-13 10:22:45",24825
-6273,5060,-2561,"2022-04-13 10:22:45",25818
-6288,5041,-1376,"2022-04-13 10:22:45",26811
-6288,5041,-1376,"2022-04-13 10:22:45",27804
-6252,5038,-1339,"2022-04-13 10:22:45",28797
-6268,5047,-1341,"2022-04-13 10:22:45",29790
-6251,5076,-1346,"2022-04-13 10:22:45",30783
-6251,5076,-1346,"2022-04-13 10:22:45",31776
-6308,4989,-1355,"2022-04-13 10:22:45",32769
-6318,5006,-1356,"2022-04-13 10:22:45",33762
-6300,5018,-1382,"2022-04-13 10:22:45",34755
-6272,5010,-1396,"2022-04-13 10:22:45",35748
-6272,5005,-1377,"2022-04-13 10:22:45",36741
-6296,5016,-1390,"2022-04-13 10:22:45",37734
-6268,5020,-1382,"2022-04-13 10:22:45",38727
-6273,5030,-1380,"2022-04-13 10:22:45",39720
-6271,5033,-1390,"2022-04-13 10:22:45",40713
-6247,-1,-1,"2022-04-13 10:22:45",41706
-6242,4095,-1,"2022-04-13 10:22:45",42699
-6258,5044,-1382,"2022-04-13 10:22:45",43692
-6271,5022,-1390,"2022-04-13 10:22:45",44685
-6264,5014,-1372,"2022-04-13 10:22:45",45678
-6273,5021,-1370,"2022-04-13 10:22:45",46671
-4097,-1,-1,"2022-04-13 10:22:45",47664
-6277,5017,-1383,"2022-04-13 10:22:45",48657
-6272,5014,-1364,"2022-04-13 10:22:45",49650
-6273,5021,-1380,"2022-04-13 10:22:45",50643
-6261,5022,-1395,"2022-04-13 10:22:45",51636
-6270,5119,-1,"2022-04-13 10:22:45",52629
-6269,5004,-1386,"2022-04-13 10:22:45",53622
-6282,5019,-1,"2022-04-13 10:22:45",54615
-6288,4991,-1,"2022-04-13 10:22:45",55608
-6272,5027,-1375,"2022-04-13 10:22:45",56601
-6278,5014,-1386,"2022-04-13 10:22:45",57594
-6285,5030,-1364,"2022-04-13 10:22:45",58587
-6295,5034,-1382,"2022-04-13 10:22:45",59580
-6298,5064,-1370,"2022-04-13 10:22:45",60573
-6297,5037,-1372,"2022-04-13 10:22:45",61566
-6297,5021,-1364,"2022-04-13 10:22:45",62559
-6294,5033,-1376,"2022-04-13 10:22:45",63552
-6300,5040,-1368,"2022-04-13 10:22:45",64545
-6298,5026,-1370,"2022-04-13 10:22:45",65538
-6293,5034,-1350,"2022-04-13 10:22:45",66531
-6300,5016,-1368,"2022-04-13 10:22:45",67524
-6314,4993,-1379,"2022-04-13 10:22:45",68517
-6327,5015,-1356,"2022-04-13 10:22:45",69510
-6298,5038,-1374,"2022-04-13 10:22:45",70503
-6308,5038,-1351,"2022-04-13 10:22:45",71496
-6338,5044,-1374,"2022-04-13 10:22:45",72489
-6313,5028,-1394,"2022-04-13 10:22:45",73482
-6294,5050,-1365,"2022-04-13 10:22:45",74475
-6336,5044,-1390,"2022-04-13 10:22:45",75468
-6315,5055,-1391,"2022-04-13 10:22:45",76461
-6314,5018,-1422,"2022-04-13 10:22:45",77454
-6325,5029,-1359,"2022-04-13 10:22:45",78447
-6324,5022,-1350,"2022-04-13 10:22:45",79440
-6323,5051,-1363,"2022-04-13 10:22:45",80433
-6343,5063,-1352,"2022-04-13 10:22:45",81426
-6340,5058,-1380,"2022-04-13 10:22:45",82419
-6322,5042,-1350,"2022-04-13 10:22:45",83412
-6336,5045,-1364,"2022-04-13 10:22:45",84405
-6343,5041,-1367,"2022-04-13 10:22:45",85398
-6329,5052,-1366,"2022-04-13 10:22:45",86391
-6355,5048,-1376,"2022-04-13 10:22:45",87384
-6330,5027,-1368,"2022-04-13 10:22:45",88377
-6340,5030,-1382,"2022-04-13 10:22:45",89370
-6351,5050,-1381,"2022-04-13 10:22:45",90363
-6348,5038,-1376,"2022-04-13 10:22:45",91356
-6336,5056,-1362,"2022-04-13 10:22:45",92349
-6350,5038,-1363,"2022-04-13 10:22:45",93342
-6336,5054,-1376,"2022-04-13 10:22:45",94335
-6362,5054,-1389,"2022-04-13 10:22:45",95328
-6340,5067,-1393,"2022-04-13 10:22:45",96321
-6346,5072,-1401,"2022-04-13 10:22:45",97314
-6343,5067,-1374,"2022-04-13 10:22:45",98307
-6321,5050,-1378,"2022-04-13 10:22:45",99300
-6340,5050,-1397,"2022-04-13 10:22:45",100293
-6330,5038,-1388,"2022-04-13 10:22:45",101286
-6326,5026,-1385,"2022-04-13 10:22:45",102279
-6318,5051,-1378,"2022-04-13 10:22:45",103272
-6320,5054,-1380,"2022-04-13 10:22:45",104265
-6320,5051,-1389,"2022-04-13 10:22:45",105258
-6320,5047,-1390,"2022-04-13 10:22:45",106251
-6314,5041,-1375,"2022-04-13 10:22:45",107244
-6329,5036,-1368,"2022-04-13 10:22:45",108237
-6302,5050,-1422,"2022-04-13 10:22:45",109230
-6308,5067,-1389,"2022-04-13 10:22:45",110223
-6299,5052,-1364,"2022-04-13 10:22:45",111216
-6300,5032,-1392,"2022-04-13 10:22:45",112209
-6308,5036,-1390,"2022-04-13 10:22:45",113202
-6305,5066,-1414,"2022-04-13 10:22:45",114195
-6298,5054,-1397,"2022-04-13 10:22:45",115188
-6312,5046,-1368,"2022-04-13 10:22:45",116181
-6310,5068,-1383,"2022-04-13 10:22:45",117174
-6306,5049,-1399,"2022-04-13 10:22:45",118167
-6298,5031,-1380,"2022-04-13 10:22:45",119160
